Company,City,Country,lat,lon,Design Companies,Nightclub,Elementary School,Middle School,High School,Starbucks,Airport,Train,Basketball,Vegan,Pet,Value
Taltopia,Los Angeles,USA,34.052187,-118.243425,10.0,291.0,1758.0,2711.0,1294.0,156.0,328.0,381.0,971.0,1111.0,453.0,495.9764367816092
PlayerAuctions,Los Angeles,USA,34.052187,-118.243425,10.0,291.0,1758.0,2711.0,1294.0,156.0,328.0,381.0,971.0,1111.0,453.0,495.9764367816092
Mevio,San Francisco,USA,37.782263,-122.392142,20.0,477.0,2182.0,758.0,2537.0,597.0,328.0,363.0,1054.0,382.0,302.0,497.45172413793114
iWin,San Francisco,USA,37.781689,-122.391061,20.0,461.0,2151.0,840.0,2521.0,566.0,417.0,266.0,1010.0,471.0,283.0,497.7574712643679
Major League Gaming,New York,USA,40.752672,-73.97593,22.0,645.0,1891.0,1752.0,1981.0,72.0,211.0,41.0,792.0,149.0,850.0,499.1385057471265
Blip'd,Los Angeles,USA,34.0760614,-118.3729534,10.0,387.0,1468.0,1950.0,1379.0,252.0,708.0,1503.0,1261.0,20.0,471.0,503.1149425287357
blinkx,San Francisco,USA,37.793819,-122.395089,20.0,684.0,1377.0,1541.0,2780.0,140.0,73.0,73.0,1152.0,553.0,330.0,504.5235632183908
Moogi,New York,USA,40.7217861,-74.0094471,22.0,289.0,1706.0,1930.0,2201.0,189.0,665.0,387.0,358.0,732.0,1513.0,518.0454022988506
Pilotlite,New York,USA,40.7166822,-74.005398,22.0,321.0,1613.0,1671.0,2550.0,208.0,563.0,442.0,459.0,463.0,882.0,518.619540229885
WeShow,New York,USA,40.752516,-73.973072,22.0,672.0,2059.0,1559.0,2110.0,118.0,310.0,254.0,610.0,316.0,671.0,524.3706896551724
Tubefilter,Los Angeles,USA,34.070436,-118.350486,10.0,797.0,1520.0,2198.0,1605.0,640.0,919.0,354.0,521.0,1019.0,298.0,544.796551724138
Metacafe,San Francisco,USA,37.437328,-122.159928,20.0,917.0,2641.0,2272.0,442.0,1046.0,580.0,331.0,750.0,142.0,3329.0,549.0396551724139
GameFly,Los Angeles,USA,33.934558,-118.3962622,10.0,1265.0,876.0,1741.0,1972.0,1282.0,194.0,1497.0,1574.0,1118.0,1939.0,564.9603448275863
Revision3,San Francisco,USA,37.757758,-122.388243,20.0,948.0,720.0,2705.0,1454.0,1170.0,1637.0,346.0,1119.0,2653.0,496.0,567.316091954023
JumpTV,New York,USA,40.705898,-74.011398,22.0,143.0,2551.0,2291.0,2452.0,82.0,464.0,552.0,136.0,481.0,341.0,608.4712643678162
Sceneclips,Los Angeles,USA,34.05438,-118.26728,10.0,278.0,3965.0,1955.0,1382.0,315.0,939.0,875.0,894.0,1149.0,1557.0,662.903448275862
Silvatar Media,Los Angeles,USA,34.1036353,-118.293316,10.0,167.0,4365.0,2340.0,1262.0,255.0,1020.0,603.0,2368.0,187.0,1993.0,692.5609195402301
MeDeploy,Los Angeles,USA,34.1395597,-118.3870991,10.0,1142.0,1984.0,1496.0,2884.0,1025.0,2502.0,2260.0,2357.0,1335.0,1248.0,823.6942528735633
Creative Artists Agency,Los Angeles,USA,34.0586832,-118.4158174,10.0,2340.0,1292.0,3828.0,578.0,281.0,842.0,2570.0,2831.0,2995.0,1953.0,824.7465517241379
RotoHog,Los Angeles,USA,33.959799,-118.343938,10.0,232.0,5906.0,3499.0,1100.0,116.0,822.0,3022.0,1032.0,4662.0,2898.0,991.5229885057472
Booyah,San Francisco,USA,37.420728,-122.2103414,20.0,3940.0,1892.0,1141.0,2923.0,1149.0,3311.0,4507.0,3288.0,4370.0,4067.0,1219.3017241379312
Brightstorm,San Francisco,USA,37.804619,-122.371203,20.0,2404.0,3140.0,3490.0,4649.0,2365.0,1679.0,2288.0,3545.0,2208.0,2629.0,1298.3954022988507
Motionbox,New York,USA,40.606061,-73.822331,22.0,9082.0,5458.0,4977.0,4977.0,4862.0,4221.0,593.0,4177.0,11556.0,6398.0,2350.620114942529
